URI,中文名称,ICD-11编码,ICD-11章节,英文名称,引用次数,是否匹配
i631619139319885824,周围性面神经麻痹,8B83,08,Facial nerve palsy,72,是
i631619130822225920,肩关节周围炎,FB20.3,15,Adhesive capsulitis of shoulder,69,是
i631619133078761472,慢性疲劳综合征,MG22,21,Chronic fatigue syndrome,68,是
i631619136916549632,脑卒中患者,8B20,08,Stroke patients (general),67,是
i631619202892951552,坐骨神经痛,FB56.2,08,Sciatica,67,是
i631619132831297536,功能性消化不良,DA91,13,Functional dyspepsia,66,是
i631619154943668224,脑卒中后抑郁,6E20.0,06,Post-stroke depression,66,是
i631619142599831552,面神经麻痹,8B83,08,Facial nerve palsy,64,是
i631619139491852288,慢性盆腔炎,GA21,17,Chronic pelvic inflammatory disease,63,是
i631619139688984576,痤疮,EE20.0,14,Acne,63,是
i631619157485416448,小儿脑瘫,8D20,08,Cerebral palsy,63,是
i631619234312482816,功能性便秘,DD91,13,Functional constipation,63,是
i631619182932258816,类风湿性关节炎,FA20,15,Rheumatoid arthritis,60,是
i631619144181084160,眩晕,AB31,08,Vertigo,59,是
i631619175894216704,面肌痉挛,8B88.3,08,Hemifacial spasm,55,是
i631619138611048448,三叉神经痛,8B82.0,08,Trigeminal neuralgia,54,是
i631619124795011072,过敏性鼻炎,CA08.0,12,Allergic rhinitis,54,是
i631619127751995392,多囊卵巢综合征,5A80.1,05,Polycystic ovary syndrome,54,是
i631619221276585984,缺血性脑卒中,8B11,08,Ischaemic stroke,51,是
i631619161071546368,乳腺增生,FA92.2,15,Fibrocystic breast changes,50,是
i631619136979464192,高血压,BA00,11,Hypertension,49,是
i631619139416354816,顽固性呃逆,DD93,13,Intractable hiccup,49,是
i631619132688691200,单纯性肥胖症,5B81.0,05,Simple obesity,49,是
i631619215522000896,急性腰扭伤,ME84.1,15,Acute lumbar sprain,47,是
i631619146869633024,强直性脊柱炎,FA91,15,Ankylosing spondylitis,46,是
i631619143115730944,中风后抑郁症,6E20.0,06,Post-stroke depression,45,是
i631619144751509504,疗原发性三叉神经痛,8B82.0,08,Trigeminal neuralgia,44,是
i631619194160410624,疼痛,MG30,21,Pain,44,是
i631619230948651008,不寐,7A00,07,Insomnia (TCM),44,是
i631619134353829888,黄褐斑,EE20.Y,14,Melasma/Chloasma,43,是
i631619237776977920,类风湿关节炎,FA20,15,Rheumatoid arthritis,43,是
i631619144336273408,特发性面神经麻痹,8B83,08,Facial nerve palsy,41,是
i631619129689763840,缺血性中风,8B11,08,Ischaemic stroke,41,是
i631619150749364224,颈型颈椎病,FA84.0,15,Axial cervical spondylosis,41,是
i631619440357666816,卒中后抑郁,6E20.0,06,Post-stroke depression,40,是
i631619687754493952,月经不调,GA20,17,Menstrual disorder,40,是
i631619174182940672,脑瘫,8D20,08,Cerebral palsy,39,是
i631619238284488704,脑出血,8B00,08,Intracerebral haemorrhage,39,是
i631619315145109504,血管神经性头痛,8A80.1,08,Vascular headache,39,是
i631619187470495744,精神发育迟滞,6A00,06,Intellectual disability,38,是
i631619122572029952,偏瘫,8B20.1,08,Hemiplegia,37,是
i631619215832379392,脑梗塞,8B11,08,Cerebral infarction,37,是
i631619129366802432,急性痛风性关节炎,5C45.1,05,Gouty arthritis,36,是
i631619175059550208,神经衰弱,6B04,06,Neurasthenia,36,是
i631619145229660160,脑卒中后肩手综合征,,,,35,否
i631619157565108224,溃疡性结肠炎,DD71,13,Ulcerative colitis,35,是
i631619193552236544,颈源性头痛,,,,35,否
i631619238536146944,痛经,GA34.1,17,Dysmenorrhoea,35,是
i631619777122529280,脑中风后遗症,8B2Y,08,Sequelae of stroke,35,是
i631619405960179712,糖尿病,5A10-5A14,05,Diabetes mellitus,34,是
i631619172064817152,帕金森病,8A00,08,Parkinson disease,33,是
i631619185901826048,紧张性头痛,,,,33,否
i631619143476441088,膝关节炎,,,,32,否
i631619135851196416,腰肌劳损,ME84.3,15,Lumbar muscle strain,31,是
i631619199420067840,小儿脑性瘫痪,8D20,08,Cerebral palsy in children,31,是
i631619239978987520,支气管哮喘,CA23,12,Asthma,31,是
i631619123079540736,干眼症,9A60.0,09,Dry eye disease,29,是
i631619143736487936,急性期周围性面瘫,8B83.0,08,Peripheral facial palsy,29,是
i631619162510192640,慢性前列腺炎,GC00,16,Chronic prostatitis,29,是
i631619167883096064,麻痹,,,,29,否
i631619197364858880,神经性耳鸣,,,,29,否
i631619303786934272,耳鸣,AB30,09,Tinnitus,29,是
i631619137231122432,肱骨外上髁炎,,,,28,否
i631619143862317056,顽固性面瘫,,,,28,否
i631619177471275008,腹泻型肠易激综合征,DA93,13,Irritable bowel syndrome,28,是
i631619259482501120,便秘,ME05,13,Constipation,28,是
i631619122400063488,脑卒中后遗症,8B2Y,08,Post-stroke sequelae,27,是
i631619123947761664,肩手综合征,,,,27,否
i631619148970979328,糖尿病神经源性膀胱,,,,27,否
i631619166725468160,产后尿潴留,,,,27,否
i631619154989805568,颈源性眩晕,,,,27,否
i631619138095149056,围绝经期综合征,,,,26,否
i631619127965904896,中风后吞咽障碍,MB23.3,21,Post-stroke dysphagia,26,是
i631619149054865408,变应性鼻炎,,,,26,否
i631619153081397248,糖尿病胃轻瘫,,,,26,否
i631619219900854272,麻痹性斜视,,,,26,否
i631619159662260224,中风后偏瘫,,,,25,否
i631619222912364544,湿疹,EA80.0,14,Eczema,25,是
i631619162069790720,中风后肩手综合征,,,,24,否
i631619186266730496,脑卒中后吞咽困难,,,,24,否
i631619260300390400,脑梗死后遗症,,,,24,否
i631619203769561088,原发性高血压,,,,23,否
i631619255699238912,慢性功能性便秘,DD91,13,Functional constipation,23,是
i631619244244594688,腰痛,ME84,15,Low back pain,23,是
i631619521269985280,痴呆,,,,23,否
i631619134886506496,梨状肌综合征,,,,22,否
i631619126216880128,脑卒中后抑郁症,6E20.0,06,Post-stroke depression,22,是
i631619996367187968,颈肩腰腿痛,,,,22,否
i631619146961907712,腰椎间盘突出,FA84.2,15,Lumbar disc herniation,21,是
i631619158622072832,躯体形式障碍,,,,21,否
i631619299982700544,腰腿痛,ME84,15,Low back and leg pain,21,是
i631619139651235840,落枕,,,,20,否
i631619147008045056,高血压脑出血,,,,20,否
i631619168029896704,周围性面瘫急性期,8B83.0,08,Peripheral facial palsy,20,是
i631619159200886784,轻度认知功能障碍,,,,20,否
i631619203673092096,阿尔茨海默病,8A20,08,Alzheimer disease,20,是
i631619121414402048,脊髓损伤,NA50,22,Spinal cord injury,19,是
i631619147339395072,腰椎管狭窄症,,,,19,否
i631619125868752896,慢性非细菌性前列腺炎,,,,19,否
i631619165878218752,呃逆,,,,19,否
i631619194948939776,吞咽障碍,MB23.3,21,Dysphagia,19,是
i631619178486296576,"缺血性脑卒中,脑卒中患者",8B11,08,Ischaemic stroke,19,是
i631619243196018688,慢性咽炎,CA0Z,12,Chronic pharyngitis,19,是
i631619627960496128,"血肿,脑出血",,,,19,否
i631619131145187328,假性延髓麻痹,,,,18,否
i631619170831691776,尿潴留,,,,18,否
i631619168763899904,糖尿病性胃轻瘫,,,,18,否
i631619194533703680,原发性三叉神经痛,8B82.0,08,Trigeminal neuralgia,18,是
i631619223403098112,脑卒中后尿失禁,,,,18,否
i631619242474598400,焦虑症,6B00,06,Anxiety disorder,18,是
i631619244655636480,肥胖症,5B81,05,Obesity,18,是
i631619134743900160,脑梗死偏瘫,,,,17,否
i631619177404166144,冠心病心绞痛,,,,17,否
i631619226695626752,肠易激综合征,DA93,13,Irritable bowel syndrome,17,是
i631620041405624320,慢性阻塞性肺疾病,CA22,12,COPD,17,是
i631619872534556672,腰间盘突出,,,,17,否
i631620459875528704,慢性头痛,,,,17,否
i631619126468538368,输卵管堵塞,,,,16,否
i631619168688402432,脑中风偏瘫,8B2Y,08,Hemiplegia after stroke,16,是
i631619183632707584,骨关节炎,,,,16,否
i631619224980156416,椎-基底动脉供血不足性眩晕,8B11.1,08,Vertebrobasilar insufficiency,16,是
i631619211659046912,慢性溃疡性结肠炎,DD71,13,Ulcerative colitis,16,是
i631619221805068288,女性压力性尿失禁,MG54.0,16,Stress urinary incontinence,16,是
i631619259889348608,中风恢复期,,,,16,否
i631619395512168448,中风后失眠,,,,16,否
i631619566505553920,缺血性中风偏瘫,8B11,08,Ischaemic stroke,16,是
i631619725037662208,腱鞘炎,FB50.2,15,Tenosynovitis,16,是
i631620413134204928,脑血管疾病,8B2Z,08,Cerebrovascular disease,16,是
i631619134135726080,慢性萎缩性胃炎,DA42.1,13,Atrophic gastritis,15,是
i631619154490683392,胃肠功能恢复,,,,15,否
i631619174958886912,脑损伤,,,,15,否
i631619184068915200,中风后尿失禁,,,,15,否
i631619212200112128,中风病及其后遗症,,,,15,否
i631619218353156096,胃食管反流病,DA22,13,Gastro-oesophageal reflux disease,15,是
i631619304583852032,周围性面神经炎,8B83.0,08,Facial neuritis / Bell palsy,15,是
i631619306072829952,顽固性失眠,,,,15,否
i631619289597603840,骨折,,,,15,否
i631619366214955008,脑卒中后偏瘫,,,,15,否
i631619331020550144,子宫肌瘤,GA17,17,Uterine fibroid,15,是
i631619504161419264,2型糖尿病,5A11,05,Type 2 diabetes mellitus,15,是
i631619545282375680,骨质疏松,,,,15,否
i631619136744583168,贝尔氏面瘫,,,,14,否
i631619140494290944,原发性失眠,,,,14,否
i631619128393723904,痛风性关节炎,5C45.1,05,Gouty arthritis,14,是
i631619129190641664,腕管综合征,FB53.1,15,Carpal tunnel syndrome,14,是
i631619129484242944,中风失语症,,,,14,否
i631619164221468672,第三腰椎横突综合征,,,,14,否
i631619155539259392,粘连性肠梗阻,,,,14,否
i631619158466883584,压力性尿失禁,MG54.0,16,Stress urinary incontinence,14,是
i631619203182358528,视神经萎缩,9B72,09,Optic atrophy,14,是
i631619175931965440,高脂血症,5C80,05,Hyperlipidaemia,14,是
i631619311227629568,痛风,5C45,05,Gout,14,是
i631619297365454848,产后抑郁症,6E20.1,06,Postpartum depression,14,是
i631619358828785664,"脊髓损伤,神经源性膀胱",NA50,22,Spinal cord injury,14,是
i631619368190472192,小儿腹泻,,,,14,否
i631619448817577984,脑卒中后痉挛性偏瘫,,,,14,否
i631619567180836864,慢性胃炎,DA42,13,Chronic gastritis,14,是
i631619632519704576,老年性失眠,,,,14,否
i631619615708934144,慢性心力衰竭,BD10,11,Heart failure,14,是
i631620903553200128,心肌梗死,BA41,11,Myocardial infarction,14,是
i631619893174726656,脑卒中后睡眠障碍,,,,14,否
i631619122504921088,脑血栓,,,,13,否
i631619133338808320,"子宫内膜异位症,痛经",GA10,17,Endometriosis,13,是
i631619136551645184,贝尔面瘫,,,,13,否
i631619166457032704,痉挛型脑瘫,,,,13,否
i631619194865053696,"中风,恢复期",8B20,08,Stroke,13,是
i631619208773365760,筋膜炎,,,,13,否
i631619254508056576,特发性震颤,,,,13,否
i631619256148029440,中风后痉挛性瘫痪,8B21,08,Spastic paralysis,13,是
i631619240675241984,腰背肌筋膜炎,,,,13,否
i631619313832292352,卒中后抑郁症,6E20.0,06,Post-stroke depression,13,是
i631619368265969664,脑梗死后尿失禁,,,,13,否
i631619685229522944,"脑卒中,瘫痪",8B20,08,Stroke,13,是
i631619974762328064,老年功能性便秘,DD91,13,Functional constipation,13,是
i631619139080810496,腹泻,ME09,13,Diarrhoea,12,是
i631619131992436736,功能性子宫出血,,,,12,否
i631619195661971456,"腰椎间盘突出症,疼痛",FA84.2,15,Lumbar disc herniation,12,是
i631619205115932672,青少年近视,,,,12,否
i631619178259804160,精神分裂症,6A20,06,Schizophrenia,12,是
i631619179140608000,前列腺增生,,,,12,否
i631619183221665792,肠梗阻,,,,12,否
i631619214339207168,小儿遗尿,LB90.1,16,Nocturnal enuresis,12,是
i631619267569119232,颈椎病颈痛,,,,12,否
i631619304357359616,中风后运动性失语,,,,12,否
i631619352105316352,术后胃瘫综合征,,,,12,否
i631619371801767936,斑秃,ED70.2,14,Alopecia areata,12,是
i631619398234271744,痉挛型小儿脑瘫,8D20,08,Cerebral palsy,12,是
i631619511149129728,急性踝关节扭伤,,,,12,否
i631619529549541376,绝经后骨质疏松,,,,12,否
i631619706272346112,认知障碍,8A20,08,Cognitive disorder,12,是
i631619717240451072,脑血管意外后偏瘫,,,,12,否
i631619724005863424,"原发性失眠,失眠症",,,,12,否
i631621836081197056,神经衰弱疗,6B04,06,Neurasthenia,12,是
i631619124392357888,血管神经性头疼,,,,11,否
i631619131757555712,老年性痴呆,8A20,08,Dementia,11,是
i631619131946299392,儿童多发性抽动症,,,,11,否
i631619148492828672,卒中后吞咽障碍,MB23.3,21,Dysphagia,11,是
i631619162120122368,神经性耳聋,,,,11,否
i631619163802038272,中风后假性球麻痹,,,,11,否
i631619234782244864,寻常型银屑病,,,,11,否
i631619238624227328,黄体功能不全,,,,11,否
i631619329783230464,脑卒中后运动性失语,,,,11,否
i631619398443986944,近视,9D00,09,Myopia,11,是
i631619922731986944,风寒型周围性面瘫,8B83.0,08,Peripheral facial palsy,11,是
i631619770659106816,中风后吞咽困难,,,,11,否
i631623007042793472,癫病,,,,11,否
i631622095842832384,进展性脑梗塞,,,,11,否
i631619133212979200,"恶心,呕吐",,,,10,否
i631619141102465024,脑卒中早期康复,,,,10,否
i631619124975366144,肥胖型多囊卵巢综合征,5A80.1,05,Polycystic ovary syndrome,10,是
i631619169049112576,习惯性便秘,,,,10,否
i631619152213176320,"中风,痉挛",8B20,08,Stroke,10,是
i631619189844471808,排卵障碍性不孕,,,,10,否
i631619192553992192,围绝经期失眠症,,,,10,否
i631619179690061824,咳嗽,,,,10,否
i631619206395195392,中风后便秘,,,,10,否
i631619235969232896,椎-基底动脉供血不足,8B11.1,08,Vertebrobasilar insufficiency,10,是
i631619263408369664,代谢综合征,,,,10,否
i631619266612817920,脑外伤后遗症,,,,10,否
i631619241463771136,干燥综合征,FA25,15,Sjögren syndrome,10,是
i631619243992936448,慢性荨麻疹,,,,10,否
i631619361555083264,"精神病,精神分裂症",6A20,06,Schizophrenia,10,是
i631619322933932032,踝关节扭伤,,,,10,否
i631619391657603072,尿失禁,MG54,16,Urinary incontinence,10,是
i631619398062305280,脑卒中吞咽障碍,MB23.3,21,Dysphagia,10,是
i631619512298369024,紧张型头痛,8A80.1,08,Tension-type headache,10,是
i631619662001467392,脑梗死后肩手综合征,,,,10,否
i631620583192260608,"恢复期,周围性面瘫",8B83.0,08,Peripheral facial palsy,10,是
i631619783455928320,神经性头痛,,,,10,否
i631620016814419968,"脑卒中,麻痹",8B20,08,Stroke,10,是
i631622301892210688,急性脑梗死合并阻塞性睡眠呼吸暂停低通气综合征,8B11,08,Acute cerebral infarction,10,是
i631619140431376384,肌筋膜疼痛综合征,MG30.1,15,Myofascial pain syndrome,9,是
i631619141807108096,慢性支气管炎,CA20,12,Chronic bronchitis,9,是
i631619129882701824,Bell麻痹,8B83.0,08,Bell palsy,9,是
i631619149247803392,退行性膝关节炎,,,,9,否
i631619171955765248,视疲劳,,,,9,否
i631619153966395392,"脑卒中,失语",8B20,08,Stroke,9,是
i631619157799989248,缺血性视神经病变,,,,9,否
i631619193447378944,脑卒中后尿潴留,,,,9,否
i631619208018391040,"神经根型颈椎病,疼痛",FA84.1,15,Cervical radiculopathy,9,是
i631619223948357632,肿瘤,,,,9,否
i631619252092137472,"中风偏瘫,痉挛",8B2Y,08,Hemiplegia after stroke,9,是
i631619271109111808,胃肠功能紊乱,,,,9,否
i631619275823509504,贝尔麻痹,8B83.0,08,Bell palsy,9,是
i631619249609109504,枕神经痛,,,,9,否
i631619284522496000,剖宫产,,,,9,否
i631619288599359488,脑中风,,,,9,否
i631619338289278976,髌骨软化症,,,,9,否
i631619350066884608,更年期综合征,GA30,17,Menopausal syndrome,9,是
i631619364918915072,顽固性呃逆疗,DD93,13,Intractable hiccup,9,是
i631619356895211520,更年期失眠,,,,9,否
i631619323034595328,短暂性脑缺血发作,8B10,08,Transient ischaemic attack,9,是
i631619332677300224,更年期抑郁症,,,,9,否
i631619393578594304,中风后偏瘫肩痛,,,,9,否
i631619411450523648,"带状疱疹,神经痛",1E91,01,Herpes zoster,9,是
i631619414055186432,偏瘫后肩手综合征,,,,9,否
i631619616728150016,缺血性脑卒中恢复期,8B11,08,Ischaemic stroke,9,是
i631620533942743040,"广泛性焦虑,焦虑症",,,,9,否
i631621084155736064,颈椎小关节错缝,,,,9,否
i631620490208735232,不稳定型心绞痛,,,,9,否
i631619789533474816,急性缺血性脑卒中偏瘫,8B11,08,Acute ischaemic stroke,9,是
i631619122840465408,流产,,,,8,否
i631619123058569216,腰椎骨质增生,,,,8,否
i631619139030478848,小儿厌食,,,,8,否
i631619125512237056,围绝经期抑郁症,,,,8,否
i631619151625973760,"脑卒中,痉挛",8B20,08,Stroke,8,是
i631619154603929600,"脑卒中,吞咽障碍",8B20,08,Stroke,8,是
i631619193350909952,重症肌无力,,,,8,否
i631619196064624640,"脑血管病,顽固性呃逆",8B2Z,08,Cerebrovascular disease,8,是
i631619183020339200,跟痛症,,,,8,否
i631619184161189888,肩痛,FB20,15,Shoulder pain,8,是
i631619233263906816,疾病,,,,8,否
i631619222291607552,中风后顽固性呃逆,DD93,13,Intractable hiccup,8,是
i631619268038881280,"脑卒中,肢痉挛",8B20,08,Stroke,8,是
i631619241035952128,应激,,,,8,否
i631619314494992384,皮肤瘙痒症,,,,8,否
i631619324011868160,脑损伤综合征,,,,8,否
i631619371105513472,中风后足内翻,,,,8,否
i631619404706082816,"痉挛,偏瘫",,,,8,否
i631619398162968576,"脑卒中,足下垂",8B20,08,Stroke,8,是
i631619434783436800,瘙痒症,,,,8,否
i631619458737106944,慢性腰腿痛,,,,8,否
i631619417033142272,"缺血性中风,中风后偏瘫",8B11,08,Ischaemic stroke,8,是
i631619496305487872,膀胱过度活动症,,,,8,否
i631619497131765760,急性一氧化碳中毒迟发性脑病,,,,8,否
i631619498373279744,急性缺血性中风,8B11,08,Ischaemic stroke,8,是
i631619547224338432,急性周围性面神经麻痹,8B83,08,Facial nerve palsy,8,是
i631619558242775040,"偏瘫,肩手综合征",8B20.1,08,Hemiplegia,8,是
i631619567650598912,女性膀胱过度活动症,,,,8,否
i631619532955316224,周围神经损伤,,,,8,否
i631619538458243072,萎缩性胃炎,DA42.1,13,Atrophic gastritis,8,是
i631619628610613248,"颈痛,椎动脉型颈椎病",ME84.2,15,Neck pain,8,是
i631621530719088640,失衡综合征,,,,8,否
i631620970506874880,周围性面瘫气虚血瘀证,8B83.0,08,Peripheral facial palsy,8,是
i631620765854199808,活动期强直性脊柱炎,FA91,15,Ankylosing spondylitis,8,是
i631621018514878464,"脑血管疾病,吞咽障碍",8B2Z,08,Cerebrovascular disease,8,是
i631620036728975360,"治疗更年期,更年期综合征",GA30,17,Menopausal syndrome,8,是
i631619891354398720,腹型肥胖,,,,8,否
i631619894680481792,疲劳性亚健康,,,,8,否
i631619785188175872,脑卒中后认知,,,,8,否
i631619961709654016,缺血性脑卒中偏瘫,8B11,08,Ischaemic stroke,8,是
i631619138946592768,腰三横突综合征,,,,7,否
i631619139789647872,泌尿系结石,,,,7,否
i631619140058083328,中风后抑郁,,,,7,否
i631619130096611328,慢性非感染性腹泻,,,,7,否
i631619132265066496,功能性腹泻,,,,7,否
i631619167132315648,退行性膝关节病,,,,7,否
i631619151487561728,卒中后吞咽困难,,,,7,否
i631619153425330176,妊娠剧吐,,,,7,否
i631619153903480832,心脏神经官能症,,,,7,否
i631619160371097600,椎基底动脉供血不足,,,,7,否
i631619161834909696,关节炎,,,,7,否
i631619186996539392,老年带状疱疹,1E91,01,Herpes zoster,7,是
i631619204197380096,寒凝血瘀型原发性痛经,GA34.10,17,Primary dysmenorrhoea,7,是
i631619204365152256,亚健康,,,,7,否
i631619180629585920,原发性骨质疏松症,FB83,15,Osteoporosis,7,是
i631619218676117504,臂丛神经损伤,,,,7,否
i631619220383199232,中风后呃逆,,,,7,否
i631619274405834752,青光眼,9C61,09,Glaucoma,7,是
i631619279300587520,中风后失语症,MB24,21,Post-stroke aphasia,7,是
i631619304202170368,胃溃疡,DA62,13,Gastric ulcer,7,是
i631619314385940480,"中风,失语",8B20,08,Stroke,7,是
i631619309126283264,痔疮,,,,7,否
i631619309751234560,前列腺增生症,,,,7,否
i631619283054489600,心肌缺血,,,,7,否
i631619288414810112,颅脑外伤,,,,7,否
i631619290507767808,小儿遗尿症,LB90.1,16,Nocturnal enuresis,7,是
i631619352289865728,海洛因依赖,,,,7,否
i631619364583370752,"缺血性中风,恢复期",8B11,08,Ischaemic stroke,7,是
i631619322111848448,非特异性腰痛,,,,7,否
i631619332366921728,宫颈癌术后尿潴留,,,,7,否
i631619335353266176,顽固性网球肘,,,,7,否
i631619369184522240,前列腺炎,,,,7,否
i631619371839516672,风湿性关节炎,,,,7,否
i631619434850545664,经行头痛,,,,7,否
i631619418656337920,颈椎间盘突出症,,,,7,否
i631619481952579584,混合型颈椎病,,,,7,否
i631619532506525696,中风痉挛性偏瘫,,,,7,否
i631619540135964672,昏迷,,,,7,否
i631619646218301440,"脑卒中偏瘫,恢复期",8B2Y,08,Post-stroke hemiplegia,7,是
i631619617751560192,小儿夏季腹泻,,,,7,否
i631619667932213248,寻常型痤疮,,,,7,否
i631620238680518656,"治疗更年期,焦虑症",,,,7,否
i631620242501529600,围绝经期,,,,7,否
i631620445656838144,腰椎间盘突出症所致坐骨神经痛,FA84.2,15,Lumbar disc herniation,7,是
i631620253993922560,非小细胞肺癌,,,,7,否
i631620264219635712,脑卒中后肢体瘫痪,,,,7,否
i631619902536413184,痉挛性瘫痪,8B21,08,Spastic paralysis,7,是
i631619755844825088,咳嗽变异性哮喘,,,,7,否
i631619977723506688,"血瘀,腰椎间盘突出症",TM08,26,Blood stasis (TCM),7,是
i631620409480966144,颈源性失眠,,,,7,否
i631621875708981248,外感头痛,,,,7,否
i631622371454742528,脊椎病,,,,7,否
i631621713829818368,脾虚夹湿型慢性萎缩性胃炎,DA42.1,13,Atrophic gastritis,7,是
i631621789776080896,癫痫,8A60,08,Epilepsy,7,是
i631619135570178048,Hunt综合征,8B83.1,08,Ramsay Hunt syndrome,6,是
i631619124551741440,寻常性痤疮,,,,6,否
i631619164162748416,肾绞痛,,,,6,否
i631619153639239680,中风后肢体痉挛,,,,6,否
i631619155463761920,颞下颌关节功能紊乱综合征,,,,6,否
i631619188363882496,"虚寒,膝骨关节炎",FA00.0,15,Knee osteoarthritis,6,是
i631619188665872384,脑卒中后肩手综合征疗,,,,6,否
i631619190972739584,腓总神经损伤,,,,6,否
i631619204256100352,痉挛,,,,6,否
i631619176003268608,皮炎,,,,6,否
i631619183343300608,扁平疣,,,,6,否
i631619183666262016,"脑卒中,恢复期",8B20,08,Stroke,6,是
i631619208857251840,糖尿病合并周围神经病变,8B99,08,Peripheral neuropathy,6,是
i631619214628614144,"心病,抑郁症",,,,6,否
i631619274867208192,术后伤口疼痛,,,,6,否
i631619268437340160,食管炎,,,,6,否
i631619242562678784,鼻咽癌,,,,6,否
i631619303988260864,复发性口腔溃疡,,,,6,否
i631619282307903488,脑梗死急性期,,,,6,否
i631619366282063872,中老年失眠症,,,,6,否
i631619326792691712,视网膜色素变性,,,,6,否
i631619335281963008,"脑梗死,恢复期",8B11,08,Cerebral infarction,6,是
i631619375715053568,子宫脱垂,,,,6,否
i631619435647463424,小儿泄泻,,,,6,否
i631619440487690240,脑血管病后痉挛性瘫痪,8B21,08,Spastic paralysis,6,是
i631619447198576640,睡眠障碍,,,,6,否
i631619458045046784,"颈椎病,头痛",FA84,15,Cervical spondylosis,6,是
i631619514244526080,"脑梗死,失语",8B11,08,Cerebral infarction,6,是
i631619473844989952,产后缺乳,,,,6,否
i631619551141818368,股外侧皮神经炎,,,,6,否
i631619537329975296,牙痛,,,,6,否
i631619658646024192,"脑卒中,麻痹,构音障碍",8B20,08,Stroke,6,是
i631619619806769152,焦虑抑郁,,,,6,否
i631619741009571840,神经源性膀胱,,,,6,否
i631619726199484416,"脑卒中,构音障碍",8B20,08,Stroke,6,是
i631619671929384960,网球肘,FB50.4,15,Tennis elbow,6,是
i631619674139783168,"脑卒中,痉挛,瘫痪",8B20,08,Stroke,6,是
i631619678032097280,阑尾炎,,,,6,否
i631619683941871616,膝关节疾病,,,,6,否
i631620928383479808,卵巢功能低下,,,,6,否
i631621491154219008,"急性脑梗死,偏瘫",8B11,08,Acute cerebral infarction,6,是
i631621500176166912,"动脉粥样硬化,脑梗死",,,,6,否
i631620976924160000,腰椎病,,,,6,否
i631620568164069376,中风后下肢痉挛性瘫,,,,6,否
i631620617346478080,卵巢过度刺激综合征,,,,6,否
i631620258511187968,慢性失眠,,,,6,否
i631619918202138624,"风湿,关节痛",,,,6,否
i631620307085422592,糖尿病视网膜病,,,,6,否
i631620337859031040,PCOS 不孕症,,,,6,否
i631619786924617728,骨质增生,,,,6,否
i631620153322237952,缺血性中风后痉挛性偏瘫,8B11,08,Ischaemic stroke,6,是
i631619990126063616,"风寒,周围性面瘫",8B83.0,08,Peripheral facial palsy,6,是
i631620411657809920,慢性腰腿疼痛综合征,,,,6,否
i631623142430732288,感音神经性聋,,,,6,否
i631621597257527296,急性肾小管坏死,,,,6,否
i631619136841052160,脑外伤,,,,5,否
i631619147427475456,"中风,痉挛,瘫痪",8B20,08,Stroke,5,是
