URI,中文名称,WHO-RA代码,备注,引用次数,是否匹配
i631619138820763648,红花,HERB-NOT-ACUPOINT,anatomical,47,是
i631619146416648192,八髎穴,BL31-34,,47,是
i631619127785549824,咽后壁,PHARYNX,,47,是
i631619170726834176,言语三区,GS-SL3,,47,是
i631619123247312896,太阳穴,EX-HN5,,46,是
i631619320849362944,玉枕,BL9,,46,是
i631619123821932544,秉风,SI12,,45,是
i631619143702933504,双侧风池,GB20,,45,是
i631619130557984768,后顶,GV19,,45,是
i631619141714833408,顶旁1线,GS-BL1,,44,是
i631619132042768384,人中,GV26,,44,是
i631619171012046848,头临泣,GB15,,44,是
i631619173075644416,顶旁2线,GS-BL2,,44,是
i631619277195046912,平衡区,GS-US1,,44,是
i631619138065788928,双侧内关,PC6,,43,是
i631619150413819904,蠡沟,LR5,,43,是
i631619185536921600,冲阳,ST42,,43,是
i631619173058867200,顶旁2线（头针）,GS-BL2,,43,是
i631619133011652608,膀胱,EAR-BLADDER,generic,42,是
i631619146810912768,筋缩,GV8,,42,是
i631619150879387648,病变椎间盘上,ANAT-DISC,anatomical,42,是
i631619150900359168,下各椎间两侧的夹脊,EX-B2,jiaji,42,是
i631619158764679168,丰隆穴,ST40,,42,是
i631619128871874560,小肠俞,BL27,,41,是
i631619156940156928,液门,TE2,,41,是
i631619152011849728,肩痛穴,JIANTONG,,40,是
i631619152980733952,外金津,EX-HN12,,40,是
i631619157196009472,治呛,ZHIQIANG,,40,是
i631619125956833280,C4夹脊,EX-B2,jiaji,39,是
i631619193866809344,关元穴,CV4,,39,是
i631619121607340032,风池双侧,,,38,否
i631619140905332736,陷谷,ST43,,38,是
i631619147410698240,合谷双,LI4,,38,是
i631619144093003776,背俞穴,GENERIC-BACK-SHU,generic,38,是
i631619169867001856,乳根,ST18,,38,是
i631619160492732416,神门双,HT7,,38,是
i631619189940940800,少泽,SI1,,38,是
i631619130637676544,C~C夹脊,EX-B2,jiaji,37,是
i631619165500731392,椎体,ANAT-VERTEBRA,anatomical,36,是
i631619355594977280,二间,LI2,,36,是
i631619123809349632,曲垣,SI13,,35,是
i631619124090368000,商阳,LI1,,35,是
i631619141224099840,孔最,LU6,,35,是
i631619157422501888,气冲,ST30,,35,是
i631619122047741952,四缝,EX-UE10,,34,是
i631619132936155136,通天,BL7,,34,是
i631619133254922240,皮质下（耳穴）,Ear-Acupoint,auricular,34,是
i631619158592712704,足阳明胃经,MERIDIAN-ST,generic,34,是
i631619161788772352,绝骨,GB39,,34,是
i631619132978098176,大赫,KI12,,33,是
i631619132407672832,京门,GB25,,33,是
i631619199327793152,四强,,,33,否
i631619216088231936,夹廉泉,JIA-CV23,,33,是
i631619146567643136,公孙？,SP4,,32,是
i631619128444055552,吞咽,,,32,否
i631619130604122112,肩胛,,,32,否
i631619209838718976,偏历,LI6,,32,是
i631619133124898816,支沟穴,TE6,,31,是
i631619141215711232,中府,LU1,,31,是
i631619128284672000,阴市,ST33,,31,是
i631619152993316864,外玉液,,,31,否
i631619326339706880,跗阳,BL59,,31,是
i631619382933450752,颈痛穴,,,31,否
i631619137767993344,天府,LU3,,30,是
i631619145959469056,天鼎,LI17,,30,是
i631619143526772736,悬颅,GB5,,30,是
i631619126447566848,耳穴内分泌,Ear-Acupoint,auricular,30,是
i631619163739123712,旁廉泉,,,30,否
i631619231883980800,悬厘,GB6,,30,是
i631619273134960640,交感（耳穴）,Ear-Acupoint,auricular,30,是
i631619407428186112,威灵仙,,,30,否
i631619400436281344,上关,GB3,,30,是
i631619124031647744,厉兑,ST45,,29,是
i631619146580226048,太 冲,,,29,否
i631619144676012032,巨骨,LI16,,29,是
i631619124123922432,阳辅,GB38,,29,是
i631619126061690880,向百会,,,29,否
i631619128544718848,天柱穴,BL10,,29,是
i631619189894803456,中冲,PC9,,29,是
i631619178419187712,合谷健侧,LI4,,29,是
i631619235952455680,晕听区,,,29,否
i631619275945144320,三阴交双侧,,,29,否
i631619315937832960,十二井穴,,,29,否
i631619121888358400,白环俞,BL30,,28,是
i631619123012431872,中髎,BL33,,28,是
i631619134852952064,上髎,BL31,,28,是
i631619137797353472,箕门,SP11,,28,是
i631619129261944832,大敦,LR1,,28,是
i631619131308765184,大巨,ST27,,28,是
i631619447668338688,中院,,,28,否
i631619426726178816,局部夹脊,EX-B2,jiaji,28,是
i631619122337148928,C-C夹脊,EX-B2,jiaji,27,是
i631619138569105408,足三里双,ST36,,27,是
i631619127584223232,至阴,BL67,,27,是
i631619165249073152,颔厌,GB4,,27,是
i631619166259900416,肘髎,LI12,,27,是
i631619239836381184,廉泉穴,CV23,,27,是
i631619137319202816,阿是,Ashi,ashi,26,是
i631619140838223872,腰痛穴,,,26,否
i631619150887776256,中,,,26,否
i631619169841836032,日月,GB24,,26,是
i631619188221276160,风池双,GB20,,26,是
i631619212481130496,中封,LR4,,26,是
i631619349735534592,足太阳,,,26,否
i631619532393279488,合阳,BL55,,26,是
i631619139630264320,外劳宫,EX-UE8,,25,是
i631619125923278848,C～颈夹脊,EX-B2,jiaji,25,是
i631619127374508032,水泉,KI5,,25,是
i631619209180213248,经穴,,,25,否
i631619306207047680,足太阳膀胱经,,,25,否
i631619145909137408,天窗,SI16,,24,是
i631619189907386368,关冲,TE1,,24,是
i631619273122377728,耳穴（耳穴）,Ear-Acupoint,auricular,24,是
i631619576278282240,膏肓,BL43,,24,是
i631619133187813376,神门（耳穴）,HT7,,23,是
i631619135310131200,承筋,BL56,,23,是
i631619143711322112,双侧合谷,LI4,,23,是
i631619130415378432,石门,CV5,,23,是
i631619131732389888,大钟,KI4,,23,是
i631619205547945984,臀痛穴,,,23,否
i631619209868079104,支正,SI7,,23,是
i631619228230742016,印堂穴,EX-HN3,,23,是
i631619349748117504,足少阳,,,23,否
i631619142650163200,内关双侧,,,22,否
i631619126732779520,交信,KI8,,22,是
i631619151965712384,然谷,KI2,,22,是
i631619154742341632,灵台,GV10,,22,是
i631619159184109568,双肾俞,BL23,,22,是
i631619144030089216,外关穴,TE5,,21,是
i631619167253950464,双风池,GB20,,21,是
i631619177727127552,臂中,,,21,否
i631619288158957568,八髎,BL31-34,,21,是
i631619366688911360,二白,EX-UE2,,21,是
i631619128431472640,天容,SI17,,20,是
i631619164762533888,肩峰,,,20,否
i631619153794428928,鸠尾,CV15,,20,是
i631619156743024640,肩顒,,,20,否
i631619189928357888,少冲,HT9,,20,是
i631619193673871360,金门,BL63,,20,是
i631619193879392256,灵骨,,,20,否
i631619210958598144,膝痛穴,,,20,否
i631619714841309184,奇穴,,,20,否
i631619148366999552,外丘,GB36,,19,是
i631619151667916800,强间,GV18,,19,是
i631619209192796160,气穴,KI13,,19,是
i631619212128808960,气旁,,,19,否
i631619219829551104,上明,,,19,否
i631619222711037952,少府,HT8,,19,是
i631619224141295616,膈腧,,,19,否
i631619362209394688,下髎,BL34,,19,是
i631619123683520512,四渎,TE9,,18,是
i631619138841735168,伸筋草,,,18,否
i631619126816665600,神门穴,HT7,,18,是
i631619130620899328,内耳,,,18,否
i631619170542284800,肩前穴,JIAN-QIAN,,18,是
i631619152452251648,气穴双,KI13,,18,是
i631619173839007744,胆囊,EX-LE6,,18,是
i631619183271997440,双侧肾俞,BL23,,18,是
i631619206940454912,膏肓俞,BL43,,18,是
i631619224028049408,双内关,PC6,,18,是
i631619278600138752,合 谷,,,18,否
i631619340159938560,缺盆,ST12,,18,是
i631619352067567616,上巨墟,,,18,否
i631619362784014336,舞蹈震颤控制区（焦氏头针）,,,18,否
i631619121972244480,绝谷,,,17,否
i631619137856073728,足五里,LR10,,17,是
i631619124115533824,束骨,BL65,,17,是
i631619130465710080,阴交,CV7,,17,是
i631619163764289536,聚泉,EX-HN10,,17,是
i631619165546868736,取大椎,,,17,否
i631619167115538432,阳陵穴,,,17,否
i631619198228885504,曲 池,,,17,否
i631619178834423808,阴郄,HT6,,17,是
i631619209356374016,肩醪,,,17,否
i631619321998602240,灵骨（董氏奇穴）,,,17,否
i631619403179356160,建里,CV11,,17,是
i631620315327229952,曲差,BL4,,17,是
i631619133863096320,中膂俞,BL29,,16,是
i631619141148602368,清冷渊,TE11,,16,是
i631619143988146176,肩井穴,GB21,,16,是
i631619126988632064,四满,KI14,,16,是
i631619161927184384,犊鼻穴,ST35,,16,是
i631619169858613248,屋翳,ST15,,16,是
i631619165928550400,防风,,,16,否
i631619161298038784,腰痛点,EX-UE7,,16,是
i631619193891975168,肾关,,,16,否
i631619173084033024,颞前线,,,16,否
i631619175818719232,阳交,GB35,,16,是
i631619215761076224,语言三区,,,16,否
i631619221087842304,大抒,,,16,否
i631619255263031296,阳明经穴,,,16,否
i631619500101332992,百会透太阳,,,16,否
i631619712903540736,头窍阴,GB11,,16,是
i631619190884659200,病灶侧运动区,,,15,否
i631619174371684352,言语一区,,,15,否
i631619377401163776,额中线,,,15,否
i631619531608944640,病变相应神经节段及上下各一节段夹脊,EX-B2,jiaji,15,是
i631619650836230144,腰奇,EX-B9,,15,是
i631619133296865280,耳针神门,,,14,否
i631619139135336448,横骨,KI11,,14,是
i631619141173768192,三阳络,TE8,,14,是
i631619163688792064,中平穴,,,14,否
i631619164741562368,条口透承山,,,14,否
i631619154679427072,太冲双侧,,,14,否
i631619161696497664,语言一区,,,14,否
i631619194781167616,井穴,,,14,否
i631619201064235008,颈～夹脊,EX-B2,jiaji,14,是
i631619215769464832,语言二区,,,14,否
i631619254545805312,偏瘫穴,,,14,否
i631619284174368768,肩腧,,,14,否
i631619325328879616,颈椎夹脊,EX-B2,jiaji,14,是
i631619327014989824,C-颈夹脊,EX-B2,jiaji,14,是
i631619512222871552,血管舒缩区,,,14,否
i631620046145187840,三阴,,,14,否
i631619884152778752,膈俞穴双侧,,,14,否
i631620168040050688,肝俞双,BL18,,14,是
i631621958512930816,承泣@,,,14,否
i631619141257654272,阴包,LR9,,13,是
i631619173109198848,顶颞前后斜线,,,13,否
i631619177492246528,中都,LR6,,13,是
i631619179803308032,京骨,BL64,,13,是
i631619228096524288,舞蹈震颤控制区,,,13,否
i631619234153099264,外耳,,,13,否
i631619222434213888,环中,,,13,否
i631619250854817792,太阳双,EX-HN5,,13,是
i631619344429740032,温溜,LI7,,13,是
i631619351971098624,阑尾,EX-LE7,,13,是
i631619353485242368,双 肾俞,BL23,,13,是
i631619465930338304,维道,GB28,,13,是
i631619500608843776,下极泉,,,13,否
i631619551976484864,双侧天柱,BL10,,13,是
i631619132994875392,中注,KI15,,12,是
i631619138829152256,透骨草,,,12,否
i631619141182156800,消泺,TE12,,12,是
i631619126460149760,中极？,CV3,,12,是
i631619165521702912,冈上肌,,,12,否
i631619167853735936,大肠经,,,12,否
i631619154780090368,悬枢,GV5,,12,是
i631619159515459584,C-夹脊,EX-B2,jiaji,12,是
i631619237508542464,耳穴交感,Ear-Acupoint,auricular,12,是
i631619256747814912,天池,PC1,,12,是
i631619246765371392,腰部华佗夹脊,EX-B2,jiaji,12,是
i631619308388085760,病灶下夹脊,EX-B2,jiaji,12,是
i631619367783624704,鸡血藤,,,12,否
i631619445529243648,头维穴,ST8,,12,是
i631619414025826304,健侧运动区,GS-MS1,,12,是
i631619604006825984,C~夹脊,EX-B2,jiaji,12,是
i631620095860273152,双足临泣,GB41,,12,是
i631620024250920960,心俞双,BL15,,12,是
i631619144038477824,天宗穴,SI11,,11,是
i631619154893336576,神堂,BL44,,11,是
i631619157992927232,太乙,ST23,,11,是
i631619199365541888,康复,,,11,否
i631619199378124800,瘫康,,,11,否
i631619177156702208,断面九针穴,,,11,否
i631619178045894656,枕下旁线,,,11,否
i631619232047558656,率谷穴,GB8,,11,是
i631619291082387456,膀胱经穴,,,11,否
i631619331951685632,中渎,GB32,,11,是
i631619335248408576,双外关,TE5,,11,是
i631619371495583744,秩边穴,BL54,,11,是
i631620106174066688,阳性反应点,,,11,否
i631620131893538816,脾 俞,,,11,否
i631619122093879296,大都,SP2,,10,是
i631619138812375040,艾叶,,,10,否
i631619150967468032,内廷,,,10,否
i631619151131045888,顶区（头针）,,,10,否
i631619163583934464,头痛穴,,,10,否
i631619168675819520,头穴运动区,,,10,否
i631619175869050880,地仓穴,ST4,,10,是
i631619235184898048,局部穴位夹脊,EX-B2,jiaji,10,是
i631619259444752384,足三里双侧,,,10,否
i631619322023768064,大白（董氏奇穴）,,,10,否
i631619322036350976,肩中,,,10,否
i631619374943301632,水突,ST10,,10,是
i631619434988957696,风池穴,GB20,,10,是
i631619506061438976,五泉穴,,,10,否
i631619542522523648,仆参,BL61,,10,是
i631620046203908096,足阳明,,,10,否
i631619791538352128,八脉交会,,,10,否
i631619143996534784,冈下肌,,,9,否
i631619202821648384,大肠（耳穴）,Ear-Acupoint,auricular,9,是
i631619173092421632,颞后线,,,9,否
i631619175848079360,四中穴,,,9,否
i631619253795024896,耳穴肝,Ear-Acupoint,auricular,9,是
i631619254470307840,阴维,,,9,否
i631619261596430336,扳机点,,,9,否
i631619269464944640,敏感点,,,9,否
i631619288133791744,大包,SP21,,9,是
i631619288175734784,五枢,GB27,,9,是
i631619350897356800,神阙穴,CV8,,9,是
i631620985560231936,腰夹脊~,EX-B2,jiaji,9,是
i631620870384644096,头三神,,,9,否
i631620048657575936,解语,,,9,否
i631619891232763904,府舍,SP13,,9,是
i631620087333253120,踝痛穴,,,9,否
i631619767848923136,中平,,,9,否
i631620001366798336,头部晕听区,,,9,否
i631619133196201984,耳穴胃,Ear-Acupoint,auricular,8,是
i631619141022773248,山根,,,8,否
i631619145938497536,天牖,TE16,,8,是
i631619142658551808,双合谷,LI4,,8,是
i631619157145677824,胸锁乳突肌,,,8,否
i631619158525603840,内外膝眼穴,,,8,否
i631619193988444160,陶道,GV13,,8,是
i631619182982590464,胞肓,BL53,,8,是
i631619206969815040,魄户,BL42,,8,是
i631619229103157248,商曲,KI17,,8,是
i631619220806823936,在阿是,Ashi,ashi,8,是
i631619222350327808,L-L夹脊,EX-B2,jiaji,8,是
i631619254436753408,手少阳,,,8,否
i631619239848964096,翳风穴,TE17,,8,是
i631619242050973696,肾穴,,,8,否
i631619250867400704,安眠双,AN-MIAN,,8,是
i631619306051858432,筑宾,KI9,,8,是
i631619342894624768,三阴穴,,,8,否
i631619348208807936,腹通谷,KI20,,8,是
i631619351643942912,上廉,LI9,,8,是
i631619371944374272,肩后,,,8,否
i631619373915697152,青灵,HT2,,8,是
i631619465770954752,囟会,GV22,,8,是
i631619471986913280,阳穴,,,8,否
i631619472783831040,脑部运动区,,,8,否
i631619545462730752,上,,,8,否
i631619554564370432,顶颞前线,,,8,否
i631619535752916992,舌尖,,,8,否
i631619609803354112,八邪穴,EX-UE9,,8,是
i631619690191384576,颈部压痛点,,,8,否
i631620241150963712,任三针,,,8,否
i631620241167740928,督三针,,,8,否
i631620047650942976,髌下,,,8,否
i631620084351102976,耳穴心,Ear-Acupoint,auricular,8,是
i631620156690264064,腰宜,EX-B6,,8,是
i631619805597659136,漏谷,SP7,,8,是
i631620400337383424,髀枢,,,8,否
i631620033184788480,胫骨内髁,,,8,否
i631619138363584512,病灶上夹脊,EX-B2,jiaji,7,是
i631619165311987712,颈椎病穴,,,7,否
i631619168570961920,头区语言二区,,,7,否
i631619188489711616,腰突穴,,,7,否
i631619236694847488,腘窝,,,7,否
i631619229111545856,落枕穴,,,7,否
i631619213965914112,肩外陵,,,7,否
i631619215794630656,顶颞前斜线运动区,,,7,否
i631619220790046720,皮损部位,,,7,否
i631619254394810368,通里穴,HT5,,7,是
i631619259427975168,双侧天枢,ST25,,7,是
i631619264792489984,双侧运动区,GS-MS1,,7,是
i631619272862330880,利尿,,,7,否
i631619266197581824,曲池透少海,,,7,否
i631619239379202048,下睛明,,,7,否
i631619302801272832,舌中穴,,,7,否
i631619306240602112,足少阳胆经,MERIDIAN-GB,generic,7,是
i631619288192512000,脾经,,,7,否
i631619358086393856,眉弓,,,7,否
i631619358300303360,耳针肾,,,7,否
i631619321084243968,双天冲,GB9,,7,是
i631619325911887872,上睛明,,,7,否
i631619327728021504,合穴,,,7,否
